PROBRP, 90:b1:34:e6:87:40, 10:0b:a9:7b:23:c0, 90:b1:34:e6:87:40, 22, -70, 0, 25, 233, 2, 000002552e86e0f3, ATT272, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, a0:21:b7:72:c8:a8, 10:0b:a9:7b:23:c0, a0:21:b7:72:c8:a8, 22, -76, 0, 19, 375, 2, 00000076aae1dc78, Naya Netgear, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 90:b1:34:e6:87:40, ff:ff:ff:ff:ff:ff, 90:b1:34:e6:87:40, 12, -73, 0, 22, 239, 2, 000002552e872183, ATT272, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 00:22:57:1e:3d:40, ff:ff:ff:ff:ff:ff, 00:22:57:1e:3d:40, 12, -76, 0, 19, 100, 2, 000004d6094c7181, , 1, 5, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 7c:bf:b1:6e:bf:20, 10:0b:a9:7b:23:c0, 7c:bf:b1:6e:bf:20, 22, -72, 0, 23, 233, 2, 000001dfcd9a63e0, ATT880, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 7c:bf:b1:6e:bf:20, 10:0b:a9:7b:23:c0, 7c:bf:b1:6e:bf:20, 22, -71, 0, 24, 233, 2, 000001dfcd9ac318, ATT880, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, b8:e6:25:02:55:ba, 10:0b:a9:7b:23:c0, b8:e6:25:02:55:ba, 22, -77, 0, 18, 241, 2, 000000da4987d273, ATT790, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, c4:3d:c7:70:b0:4e, 10:0b:a9:7b:23:c0, c4:3d:c7:70:b0:4e, 22, -82, 0, 13, 376, 2, 000000dc41ff36e3, Robertson, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, c4:3d:c7:70:b0:4e, 10:0b:a9:7b:23:c0, c4:3d:c7:70:b0:4e, 22, -81, 0, 14, 376, 2, 000000dc41ff44d1, Robertson, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 00:1f:33:38:85:5e, ff:ff:ff:ff:ff:ff, 00:1f:33:38:85:5e, 12, -82, 0, 13, 70, 2, 000004d610cfe181, Bill, 1, 11, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 00:1f:33:38:85:5e, 10:0b:a9:7b:23:c0, 00:1f:33:38:85:5e, 22, -84, 0, 11, 64, 2, 000004d610d0017e, Bill, 1, 11, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 00:1f:33:37:66:44, 10:0b:a9:7b:23:c0, 00:1f:33:37:66:44, 22, -78, 0, 17, 66, 2, 000004d60cb7d518, taylor, 1, 11, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 00:22:6b:4c:71:3a, ff:ff:ff:ff:ff:ff, 00:22:6b:4c:71:3a, 12, -87, 0, 8, 131, 2, 000004d611b59183, ilovekris, 1, 11, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 40:b7:f3:1e:02:70, ff:ff:ff:ff:ff:ff, 40:b7:f3:1e:02:70, 12, -87, 0, 8, 239, 2, 000001027cd3c183, ATT024, 1, 11, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 90:b1:34:e6:87:40, 10:0b:a9:7b:23:c0, 90:b1:34:e6:87:40, 22, -69, 0, 26, 233, 2, 000002552eb40cde, ATT272, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
