PROBRP, e0:06:e6:1d:2e:a1, 10:0b:a9:7b:23:c0, e0:06:e6:1d:2e:a1, 22, -76, 0, 19, 251, 2, 000002086fe1c4bb, DDW361131, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 20:e5:2a:82:be:f0, 10:0b:a9:7b:23:c0, 20:e5:2a:82:be:f0, 22, -83, 0, 12, 286, 2, 0000013627dd6461, MightyOrbots, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 20:e5:2a:82:be:f0, 10:0b:a9:7b:23:c0, 20:e5:2a:82:be:f0, 22, -83, 0, 12, 286, 2, 0000013627dd789f, MightyOrbots, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, 20:e5:2a:82:be:f0, ff:ff:ff:ff:ff:ff, 20:e5:2a:82:be:f0, 12, -85, 0, 10, 292, 2, 0000013627dda180, MightyOrbots, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 40:b7:f3:e5:e5:a0, 10:0b:a9:7b:23:c0, 40:b7:f3:e5:e5:a0, 22, -66, 0, 29, 233, 2, 00000023794bf2d3, ATT848, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 40:b7:f3:e5:e5:a0, 10:0b:a9:7b:23:c0, 40:b7:f3:e5:e5:a0, 22, -66, 0, 29, 233, 2, 00000023794c22d9, ATT848, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 40:b7:f3:e5:e5:a0, 10:0b:a9:7b:23:c0, 40:b7:f3:e5:e5:a0, 22, -67, 0, 28, 233, 2, 00000023794c52e5, ATT848, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
BEACON, e0:06:e6:1d:2e:a1, ff:ff:ff:ff:ff:ff, e0:06:e6:1d:2e:a1, 12, -66, 0, 29, 257, 2, 00000208700e4290, DDW361131, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, e0:06:e6:1d:2e:a1, 10:0b:a9:7b:23:c0, e0:06:e6:1d:2e:a1, 22, -65, 0, 30, 251, 2, 00000208700e4bc0, DDW361131, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 20:e5:2a:82:be:f0, 10:0b:a9:7b:23:c0, 20:e5:2a:82:be:f0, 22, -82, 0, 13, 286, 2, 000001362809ebf4, MightyOrbots, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 20:e5:2a:82:be:f0, 10:0b:a9:7b:23:c0, 20:e5:2a:82:be:f0, 22, -76, 0, 19, 286, 2, 00000136280a5f5d, MightyOrbots, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 40:b7:f3:e5:e5:a0, 10:0b:a9:7b:23:c0, 40:b7:f3:e5:e5:a0, 22, -68, 0, 27, 233, 2, 0000002379784e82, ATT848, 1, 6, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 00:24:01:f6:58:48, 10:0b:a9:7b:23:c0, 00:24:01:f6:58:48, 22, -84, 0, 11, 357, 2, 0000000002dda1f9, dlink, 1, 11, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, e0:06:e6:1d:2e:a1, 10:0b:a9:7b:23:c0, e0:06:e6:1d:2e:a1, 22, -71, 0, 24, 251, 2, 00000208703a69ed, DDW361131, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
PROBRP, 20:e5:2a:82:be:f0, 10:0b:a9:7b:23:c0, 20:e5:2a:82:be:f0, 22, -79, 0, 16, 286, 2, 0000013628360937, MightyOrbots, 1, 1, 1, 0.0.0.0, 0.0.0.0, 0, 0, 0
