12:31:22.517600 2.0 Mb/s 2412 MHz 11b -63dB signal antenna 3 Retry 258us Probe Response (2WIRE210) [1.0* 2.0* 5.5* 6.0 9.0 11.0* 12.0 18.0 Mbit] CH: 1, PRIVACY
12:31:22.520968 1.0 Mb/s 2412 MHz 11b -87dB signal antenna 3 304us Probe Response (Mom's Network) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 1, PRIVACY
12:31:22.555326 2.0 Mb/s 2417 MHz 11b -64dB signal antenna 3 0us Beacon (2WIRE210) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
12:31:22.577142 1.0 Mb/s 2427 MHz 11b -83dB signal antenna 3 314us Probe Response (NETGEAR75) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] CH: 4, PRIVACY
12:31:22.583301 1.0 Mb/s 2427 MHz 11b -84dB signal antenna 3 Retry 314us Probe Response (NETGEAR75) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] CH: 4, PRIVACY
12:31:22.599988 2.0 Mb/s 2427 MHz 11b -83dB signal antenna 3 0us Beacon (2WIRE451) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 4, PRIVACY
12:31:22.605009 1.0 Mb/s 2427 MHz 11b -82dB signal antenna 3 0us Beacon (NETGEAR75) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 4, PRIVACY
12:31:22.625461 1.0 Mb/s 2437 MHz 11b -79dB signal antenna 3 314us Probe Response (Belkin_Enhanced_Wireless_EB602D) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 6, PRIVACY
12:31:22.635037 2.0 Mb/s 2442 MHz 11b -77dB signal antenna 3 0us Beacon (2WIRE936) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 7, PRIVACY
12:31:22.647079 2.0 Mb/s 2447 MHz 11b -69dB signal antenna 3 258us Probe Response (2WIRE095) [1.0* 2.0* 5.5* 6.0 9.0 11.0* 12.0 18.0 Mbit] CH: 8, PRIVACY
12:31:22.685786 1.0 Mb/s 2462 MHz 11b -75dB signal antenna 3 304us Probe Response (Demetria Lynne) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 11, PRIVACY
12:31:22.689329 1.0 Mb/s 2462 MHz 11b -72dB signal antenna 3 304us Probe Response (Demetria Lynne) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 11, PRIVACY
12:31:22.692961 1.0 Mb/s 2462 MHz 11b -72dB signal antenna 3 304us Probe Response (Demetria Lynne) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 11, PRIVACY
12:31:22.693632 2.0 Mb/s 2462 MHz 11b -87dB signal antenna 3 0us Beacon (2WIRE475) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 11, PRIVACY
12:31:22.699620 1.0 Mb/s 2462 MHz 11b -70dB signal antenna 3 0us Beacon (Demetria Lynne) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] ESS CH: 11, PRIVACY
12:31:22.708990 2.0 Mb/s 2462 MHz 11b -89dB signal antenna 3 0us Beacon (2WIRE628) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 11, PRIVACY
12:31:25.159700 6.0 Mb/s 5785 MHz 11a -84dB signal antenna 3 0us Beacon (Cisco_261223DC) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit] ESS, PRIVACY
12:31:25.411177 1.0 Mb/s 2412 MHz 11b -79dB signal antenna 3 304us Probe Response (Mom's Network) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 1, PRIVACY
12:31:25.414673 1.0 Mb/s 2412 MHz 11b -78dB signal antenna 3 304us Probe Response (Mom's Network) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 1, PRIVACY
12:31:25.418015 1.0 Mb/s 2412 MHz 11b -80dB signal antenna 3 304us Probe Response (Mom's Network) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 1, PRIVACY
12:31:25.422551 2.0 Mb/s 2412 MHz 11b -65dB signal antenna 3 0us Beacon (2WIRE210) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
12:31:25.443792 2.0 Mb/s 2417 MHz 11b -68dB signal antenna 3 258us Probe Response (2WIRE210) [1.0* 2.0* 5.5* 6.0 9.0 11.0* 12.0 18.0 Mbit] CH: 1, PRIVACY
12:31:25.472626 1.0 Mb/s 2427 MHz 11b -80dB signal antenna 3 314us Probe Response (NETGEAR75) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] CH: 4, PRIVACY
12:31:25.516247 1.0 Mb/s 2432 MHz 11b -76dB signal antenna 3 0us Beacon (2135 0463) [1.0* 2.0* 5.5* 11.0* 22.0 Mbit] ESS CH: 6, PRIVACY
12:31:25.540224 1.0 Mb/s 2437 MHz 11b -83dB signal antenna 3 304us Probe Response (HP-Print-05-Deskjet 3510 series) [1.0 2.0 5.5 6.0 9.0 11.0 12.0 18.0 Mbit] CH: 6, PRIVACY
12:31:25.545993 1.0 Mb/s 2437 MHz 11b -79dB signal antenna 3 Retry 314us Probe Response (Belkin_Enhanced_Wireless_EB602D) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 6, PRIVACY
12:31:25.548768 1.0 Mb/s 2437 MHz 11b -80dB signal antenna 3 0us Beacon (Belkin_Enhanced_Wireless_EB602D) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] ESS CH: 6, PRIVACY
12:31:25.552252 1.0 Mb/s 2437 MHz 11b -87dB signal antenna 3 Retry 304us Probe Response (USAFulfilment) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
12:31:25.555091 2.0 Mb/s 2437 MHz 11b -76dB signal antenna 3 Retry 260us Probe Response (2135 0463) [1.0* 2.0* 5.5* 11.0* 22.0 Mbit] CH: 6, PRIVACY
12:31:25.563689 1.0 Mb/s 2437 MHz 11b -87dB signal antenna 3 Retry 304us Probe Response (USAFulfilment) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
12:31:25.573560 2.0 Mb/s 2442 MHz 11b -79dB signal antenna 3 258us Probe Response (2WIRE936) [1.0* 2.0* 5.5* 6.0 9.0 11.0* 12.0 18.0 Mbit] CH: 7, PRIVACY
12:31:25.574501 2.0 Mb/s 2442 MHz 11b -79dB signal antenna 3 Retry 258us Probe Response (2WIRE936) [1.0* 2.0* 5.5* 6.0 9.0 11.0* 12.0 18.0 Mbit] CH: 7, PRIVACY
12:31:25.575592 2.0 Mb/s 2442 MHz 11b -79dB signal antenna 3 Retry 258us Probe Response (2WIRE936) [1.0* 2.0* 5.5* 6.0 9.0 11.0* 12.0 18.0 Mbit] CH: 7, PRIVACY
12:31:25.604683 2.0 Mb/s 2442 MHz 11b -77dB signal antenna 3 0us Beacon (2WIRE936) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 7, PRIVACY
12:31:25.647544 1.0 Mb/s 2462 MHz 11b -69dB signal antenna 3 304us Probe Response (Demetria Lynne) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 11, PRIVACY
12:31:25.653815 1.0 Mb/s 2462 MHz 11b -70dB signal antenna 3 304us Probe Response (Demetria Lynne) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 11, PRIVACY
12:31:25.657225 1.0 Mb/s 2462 MHz 11b -70dB signal antenna 3 304us Probe Response (Demetria Lynne) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 11, PRIVACY
12:31:25.669101 1.0 Mb/s 2462 MHz 11b -72dB signal antenna 3 0us Beacon (Demetria Lynne) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] ESS CH: 11, PRIVACY
12:31:28.081733 6.0 Mb/s 5785 MHz 11a -83dB signal antenna 3 0us Beacon (Cisco_7DE5120D) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit] ESS, PRIVACY
12:31:28.082781 6.0 Mb/s 5785 MHz 11a -80dB signal antenna 3 60us Probe Response (Cisco_261223DC) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit], PRIVACY
