12:43:31.747859 6.0 Mb/s 5180 MHz 11a -89dB signal antenna 3 0us Beacon [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit] IBSS CH: 36, PRIVACY
12:43:32.625959 1.0 Mb/s 2412 MHz 11b -81dB signal antenna 3 314us Probe Response (kcmsdguest) [1.0* 2.0* 5.5 6.0 9.0 11.0 12.0 18.0 Mbit] CH: 1, PRIVACY
12:43:32.629607 1.0 Mb/s 2412 MHz 11b -81dB signal antenna 3 314us Probe Response (kcmsdguest) [1.0* 2.0* 5.5 6.0 9.0 11.0 12.0 18.0 Mbit] CH: 1, PRIVACY
12:43:32.630648 1.0 Mb/s 2412 MHz 11b -90dB signal antenna 3 314us Probe Response (kcmsdwireless) [1.0* 2.0* 5.5 6.0 9.0 11.0 12.0 18.0 Mbit] CH: 1, PRIVACY
12:43:32.663542 1.0 Mb/s 2417 MHz 11b -84dB signal antenna 3 0us Beacon (kcmsdwireless) [1.0* 2.0* 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
12:43:32.699353 1.0 Mb/s 2432 MHz 11b -73dB signal antenna 3 Retry 314us Probe Response (ATT312) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 6, PRIVACY
12:43:32.704253 1.0 Mb/s 2432 MHz 11b -72dB signal antenna 3 Retry 314us Probe Response (ATT312) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 6, PRIVACY
12:43:32.706714 1.0 Mb/s 2432 MHz 11b -63dB signal antenna 3 314us Probe Response (kcmsdguest) [1.0* 2.0* 5.5 6.0 9.0 11.0 12.0 18.0 Mbit] CH: 6, PRIVACY
12:43:32.707778 1.0 Mb/s 2432 MHz 11b -63dB signal antenna 3 314us Probe Response (kcmsdwireless) [1.0* 2.0* 5.5 6.0 9.0 11.0 12.0 18.0 Mbit] CH: 6, PRIVACY
12:43:32.712185 1.0 Mb/s 2432 MHz 11b -85dB signal antenna 3 0us Beacon (ATT976) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] ESS CH: 6, PRIVACY
12:43:32.717364 1.0 Mb/s 2432 MHz 11b -83dB signal antenna 3 0us Beacon (kcmsdwireless) [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] ESS CH: 5, PRIVACY
12:43:32.721360 1.0 Mb/s 2432 MHz 11b -62dB signal antenna 3 0us Beacon (kcmsdguest) [1.0* 2.0* 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] ESS CH: 6, PRIVACY
12:43:32.722238 1.0 Mb/s 2432 MHz 11b -64dB signal antenna 3 0us Beacon (kcmsdwireless) [1.0* 2.0* 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] ESS CH: 6, PRIVACY
12:43:32.733335 1.0 Mb/s 2437 MHz 11b -70dB signal antenna 3 314us Probe Response (ATT312) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 6, PRIVACY
12:43:32.810825 1.0 Mb/s 2447 MHz 11b -75dB signal antenna 3 0us Beacon (ATT312) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] ESS CH: 6, PRIVACY
12:43:32.821237 1.0 Mb/s 2452 MHz 11b -78dB signal antenna 3 0us Beacon (kcmsdguest) [1.0* 2.0* 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] ESS CH: 6, PRIVACY
12:43:32.822244 1.0 Mb/s 2452 MHz 11b -76dB signal antenna 3 0us Beacon (kcmsdwireless) [1.0* 2.0* 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] ESS CH: 6, PRIVACY
12:43:32.855462 1.0 Mb/s 2457 MHz 11b -71dB signal antenna 3 314us Probe Response (kcmsdguest) [1.0* 2.0* 5.5 6.0 9.0 11.0 12.0 18.0 Mbit] CH: 11, PRIVACY
12:43:32.859160 1.0 Mb/s 2457 MHz 11b -85dB signal antenna 3 0us Beacon (kcmsdguest) [1.0* 2.0* 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] ESS CH: 11, PRIVACY
12:43:32.860071 1.0 Mb/s 2457 MHz 11b -72dB signal antenna 3 0us Beacon (kcmsdwireless) [1.0* 2.0* 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] ESS CH: 11, PRIVACY
12:43:32.885600 1.0 Mb/s 2462 MHz 11b -70dB signal antenna 3 314us Probe Response (kcmsdguest) [1.0* 2.0* 5.5 6.0 9.0 11.0 12.0 18.0 Mbit] CH: 11, PRIVACY
12:43:32.889077 1.0 Mb/s 2462 MHz 11b -70dB signal antenna 3 314us Probe Response (kcmsdwireless) [1.0* 2.0* 5.5 6.0 9.0 11.0 12.0 18.0 Mbit] CH: 11, PRIVACY
12:43:32.906957 1.0 Mb/s 2462 MHz 11b -88dB signal antenna 3 0us Beacon (kcmsdguest) [1.0* 2.0* 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] ESS CH: 11, PRIVACY
12:43:32.907833 1.0 Mb/s 2462 MHz 11b -88dB signal antenna 3 0us Beacon (kcmsdwireless) [1.0* 2.0* 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] ESS CH: 11, PRIVACY
12:43:33.218947 6.0 Mb/s 5220 MHz 11a -88dB signal antenna 3 0us Beacon (ctcco.com.Sheraton-BTH) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit] ESS CH: 44, PRIVACY
12:43:33.220159 6.0 Mb/s 5220 MHz 11a -88dB signal antenna 3 60us Probe Response (kcmsdwireless) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit] CH: 44, PRIVACY
12:43:33.239934 6.0 Mb/s 5220 MHz 11a -89dB signal antenna 3 0us Beacon (kcmsdwireless) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit] ESS CH: 44, PRIVACY
12:43:33.310372 6.0 Mb/s 5240 MHz 11a -86dB signal antenna 3 0us Beacon (kcmsdguest) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit] ESS CH: 48, PRIVACY
12:43:33.310434 6.0 Mb/s 5240 MHz 11a -87dB signal antenna 3 0us Beacon (kcmsdwireless) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit] ESS CH: 48, PRIVACY
12:43:35.102269 6.0 Mb/s 5745 MHz 11a -77dB signal antenna 3 0us Beacon (kcmsdguest) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit] ESS CH: 149, PRIVACY
12:43:35.102320 6.0 Mb/s 5745 MHz 11a -77dB signal antenna 3 0us Beacon (kcmsdwireless) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit] ESS CH: 149, PRIVACY
12:43:35.104600 6.0 Mb/s 5745 MHz 11a -77dB signal antenna 3 60us Probe Response (kcmsdguest) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit] CH: 149, PRIVACY
12:43:35.104774 6.0 Mb/s 5745 MHz 11a -77dB signal antenna 3 60us Probe Response (kcmsdwireless) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit] CH: 149, PRIVACY
12:43:35.192238 6.0 Mb/s 5765 MHz 11a -87dB signal antenna 3 0us Beacon (kcmsdguest) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit] ESS CH: 153, PRIVACY
12:43:35.192288 6.0 Mb/s 5765 MHz 11a -87dB signal antenna 3 0us Beacon (kcmsdwireless) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit] ESS CH: 153, PRIVACY
12:43:35.193159 6.0 Mb/s 5765 MHz 11a -85dB signal antenna 3 60us Probe Response (kcmsdguest) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit] CH: 153, PRIVACY
12:43:35.193351 6.0 Mb/s 5765 MHz 11a -87dB signal antenna 3 60us Probe Response (kcmsdwireless) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit] CH: 153, PRIVACY
12:43:35.325954 6.0 Mb/s 5785 MHz 11a -87dB signal antenna 3 0us Beacon (kcmsdguest) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit] ESS CH: 157, PRIVACY
12:43:35.326008 6.0 Mb/s 5785 MHz 11a -86dB signal antenna 3 0us Beacon (kcmsdwireless) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit] ESS CH: 157, PRIVACY
12:43:35.350970 6.0 Mb/s 5805 MHz 11a -90dB signal antenna 3 0us Beacon (kcmsdwireless) [6.0* 9.0 12.0* 18.0 24.0* 36.0 48.0 54.0 Mbit] ESS CH: 161, PRIVACY
12:43:35.499101 1.0 Mb/s 2412 MHz 11b -87dB signal antenna 3 314us Probe Response (kcmsdwireless) [1.0* 2.0* 5.5 6.0 9.0 11.0 12.0 18.0 Mbit] CH: 1, PRIVACY
12:43:35.502484 1.0 Mb/s 2412 MHz 11b -83dB signal antenna 3 314us Probe Response (kcmsdwireless) [1.0* 2.0* 5.5 6.0 9.0 11.0 12.0 18.0 Mbit] CH: 1, PRIVACY
12:43:35.572764 1.0 Mb/s 2432 MHz 11b -59dB signal antenna 3 314us Probe Response (kcmsdwireless) [1.0* 2.0* 5.5 6.0 9.0 11.0 12.0 18.0 Mbit] CH: 6, PRIVACY
12:43:35.575606 1.0 Mb/s 2432 MHz 11b -73dB signal antenna 3 0us Beacon (ATT312) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] ESS CH: 6, PRIVACY
12:43:35.585531 1.0 Mb/s 2432 MHz 11b -59dB signal antenna 3 0us Beacon (kcmsdguest) [1.0* 2.0* 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] ESS CH: 6, PRIVACY
12:43:35.587052 1.0 Mb/s 2432 MHz 11b -59dB signal antenna 3 0us Beacon (kcmsdwireless) [1.0* 2.0* 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] ESS CH: 6, PRIVACY
12:43:35.604405 1.0 Mb/s 2437 MHz 11b -72dB signal antenna 3 314us Probe Response (ATT312) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 6, PRIVACY
12:43:35.608348 1.0 Mb/s 2437 MHz 11b -59dB signal antenna 3 314us Probe Response (kcmsdwireless) [1.0* 2.0* 5.5 6.0 9.0 11.0 12.0 18.0 Mbit] CH: 6, PRIVACY
12:43:35.612121 1.0 Mb/s 2437 MHz 11b -74dB signal antenna 3 Retry 314us Probe Response (ATT312) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 6, PRIVACY
