12:49:46.879068 1.0 Mb/s 2412 MHz 11b -66dB signal antenna 3 314us Probe Response (ATT752) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 1, PRIVACY
12:49:46.891102 1.0 Mb/s 2417 MHz 11b -72dB signal antenna 3 314us Probe Response (ATT056) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 1, PRIVACY
12:49:46.892531 1.0 Mb/s 2417 MHz 11b -86dB signal antenna 3 0us Probe Response (Carole Network) [1.0* 2.0* 5.5* 11.0* Mbit] CH: 1, PRIVACY
12:49:46.962776 1.0 Mb/s 2437 MHz 11b -72dB signal antenna 3 314us Probe Response (ATT944) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 6, PRIVACY
12:49:46.966250 1.0 Mb/s 2437 MHz 11b -83dB signal antenna 3 314us Probe Response (Robertson) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 6, PRIVACY
12:49:46.992136 1.0 Mb/s 2437 MHz 11b -85dB signal antenna 3 0us Beacon (ATT790) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] ESS CH: 6, PRIVACY
12:49:47.013033 1.0 Mb/s 2447 MHz 11b -73dB signal antenna 3 0us Beacon (ATT944) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] ESS CH: 6, PRIVACY
12:49:47.052830 1.0 Mb/s 2452 MHz 11b -75dB signal antenna 3 0us Beacon (Bill) [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] ESS CH: 11, PRIVACY
12:49:47.062997 1.0 Mb/s 2457 MHz 11b -66dB signal antenna 3 Retry 314us Probe Response (ATT024) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 11, PRIVACY
12:49:47.065845 1.0 Mb/s 2457 MHz 11b -70dB signal antenna 3 Retry 314us Probe Response (Bill) [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] CH: 11, PRIVACY
12:49:47.092927 1.0 Mb/s 2462 MHz 11b -63dB signal antenna 3 314us Probe Response (ATT024) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 11, PRIVACY
12:49:47.094041 1.0 Mb/s 2462 MHz 11b -67dB signal antenna 3 314us Probe Response (Bill) [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] CH: 11, PRIVACY
12:49:49.862724 1.0 Mb/s 2412 MHz 11b -71dB signal antenna 3 314us Probe Response (ATT056) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 1, PRIVACY
12:49:49.865130 1.0 Mb/s 2412 MHz 11b -71dB signal antenna 3 314us Probe Response (ATT752) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 1, PRIVACY
12:49:49.867590 1.0 Mb/s 2412 MHz 11b -84dB signal antenna 3 Retry 0us Probe Response (Carole Network) [1.0* 2.0* 5.5* 11.0* Mbit] CH: 1, PRIVACY
12:49:49.897780 1.0 Mb/s 2417 MHz 11b -86dB signal antenna 3 Retry 314us Probe Response (Carole Network) [1.0* 2.0* 5.5* 11.0* Mbit] CH: 1, PRIVACY
12:49:49.902137 1.0 Mb/s 2417 MHz 11b -86dB signal antenna 3 Retry 0us Probe Response (Carole Network) [1.0* 2.0* 5.5* 11.0* Mbit] CH: 1, PRIVACY
12:49:49.908244 1.0 Mb/s 2417 MHz 11b -86dB signal antenna 3 Retry 0us Probe Response (Carole Network) [1.0* 2.0* 5.5* 11.0* Mbit] CH: 1, PRIVACY
12:49:49.912479 1.0 Mb/s 2417 MHz 11b -86dB signal antenna 3 Retry 0us Probe Response (Carole Network) [1.0* 2.0* 5.5* 11.0* Mbit] CH: 1, PRIVACY
12:49:49.922644 1.0 Mb/s 2417 MHz 11b -71dB signal antenna 3 0us Beacon (ATT752) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] ESS CH: 1, PRIVACY
12:49:49.992338 1.0 Mb/s 2437 MHz 11b -84dB signal antenna 3 314us Probe Response (ATT944) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 6, PRIVACY
12:49:50.022436 1.0 Mb/s 2447 MHz 11b -85dB signal antenna 3 0us Beacon (Bill) [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] ESS CH: 11, PRIVACY
12:49:50.044540 1.0 Mb/s 2457 MHz 11b -66dB signal antenna 3 314us Probe Response (ATT024) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 11, PRIVACY
12:49:50.045698 1.0 Mb/s 2457 MHz 11b -71dB signal antenna 3 314us Probe Response (Bill) [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] CH: 11, PRIVACY
12:49:50.047867 1.0 Mb/s 2457 MHz 11b -72dB signal antenna 3 Retry 314us Probe Response (Bill) [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] CH: 11, PRIVACY
12:49:50.053771 1.0 Mb/s 2457 MHz 11b -65dB signal antenna 3 0us Beacon (ATT024) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] ESS CH: 11, PRIVACY
12:49:50.081366 1.0 Mb/s 2462 MHz 11b -63dB signal antenna 3 314us Probe Response (ATT024) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 11, PRIVACY
12:49:50.082446 1.0 Mb/s 2462 MHz 11b -69dB signal antenna 3 314us Probe Response (Bill) [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] CH: 11, PRIVACY
12:49:52.856503 1.0 Mb/s 2412 MHz 11b -65dB signal antenna 3 Retry 314us Probe Response (ATT056) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 1, PRIVACY
12:49:52.858820 1.0 Mb/s 2412 MHz 11b -66dB signal antenna 3 Retry 314us Probe Response (ATT752) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 1, PRIVACY
12:49:52.860270 1.0 Mb/s 2412 MHz 11b -85dB signal antenna 3 0us Probe Response (Carole Network) [1.0* 2.0* 5.5* 11.0* Mbit] CH: 1, PRIVACY
12:49:52.875588 1.0 Mb/s 2412 MHz 11b -67dB signal antenna 3 0us Beacon (ATT056) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] ESS CH: 1, PRIVACY
12:49:52.883951 1.0 Mb/s 2417 MHz 11b -67dB signal antenna 3 314us Probe Response (ATT056) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 1, PRIVACY
12:49:52.886406 1.0 Mb/s 2417 MHz 11b -67dB signal antenna 3 Retry 314us Probe Response (ATT056) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 1, PRIVACY
12:49:52.888669 1.0 Mb/s 2417 MHz 11b -67dB signal antenna 3 Retry 314us Probe Response (ATT056) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 1, PRIVACY
12:49:52.892208 1.0 Mb/s 2417 MHz 11b -65dB signal antenna 3 0us Beacon (ATT752) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] ESS CH: 1, PRIVACY
12:49:52.918975 1.0 Mb/s 2422 MHz 11b -70dB signal antenna 3 314us Probe Response (ATT752) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 1, PRIVACY
12:49:52.945800 1.0 Mb/s 2432 MHz 11b -85dB signal antenna 3 0us Beacon (Robertson) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] ESS CH: 6, PRIVACY
12:49:52.978953 1.0 Mb/s 2437 MHz 11b -73dB signal antenna 3 314us Probe Response (ATT944) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 6, PRIVACY
