13:11:47.612749 1.0 Mb/s 2412 MHz 11b -72dB signal antenna 3 0us Beacon () [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] ESS CH: 1, PRIVACY
13:11:47.729198 1.0 Mb/s 2462 MHz 11b -78dB signal antenna 3 314us Probe Response (kcmsdwireless) [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] CH: 11, PRIVACY
13:11:47.732567 1.0 Mb/s 2462 MHz 11b -84dB signal antenna 3 0us Beacon () [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] ESS CH: 11, PRIVACY
13:11:50.622732 1.0 Mb/s 2462 MHz 11b -83dB signal antenna 3 Retry 314us Probe Response (kcmsdwireless) [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] CH: 11, PRIVACY
13:11:50.623957 1.0 Mb/s 2462 MHz 11b -83dB signal antenna 3 314us Probe Response (kcmsdwireless) [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] CH: 11, PRIVACY
13:11:50.636452 1.0 Mb/s 2462 MHz 11b -89dB signal antenna 3 0us Beacon (TG862GA2) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] ESS CH: 11, PRIVACY
13:11:50.647621 1.0 Mb/s 2462 MHz 11b -89dB signal antenna 3 0us Beacon (kcmsdwireless) [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] ESS CH: 11, PRIVACY
13:11:53.514438 1.0 Mb/s 2462 MHz 11b -87dB signal antenna 3 304us Probe Response (TG862GA2) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 11, PRIVACY
13:11:53.518626 1.0 Mb/s 2462 MHz 11b -86dB signal antenna 3 304us Probe Response (TG862GA2) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 11, PRIVACY
13:11:56.295924 1.0 Mb/s 2417 MHz 11b -87dB signal antenna 3 0us Beacon () [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] ESS CH: 2, PRIVACY
13:11:56.316727 1.0 Mb/s 2422 MHz 11b -84dB signal antenna 3 0us Beacon () [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] ESS CH: 1, PRIVACY
13:11:56.405747 1.0 Mb/s 2462 MHz 11b -86dB signal antenna 3 314us Probe Response (kcmsdwireless) [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] CH: 11, PRIVACY
13:11:56.408390 1.0 Mb/s 2462 MHz 11b -90dB signal antenna 3 304us Probe Response (TG862GA2) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 11, PRIVACY
13:11:56.410629 1.0 Mb/s 2462 MHz 11b -89dB signal antenna 3 304us Probe Response (TG862GA2) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 11, PRIVACY
13:11:56.436600 1.0 Mb/s 2462 MHz 11b -88dB signal antenna 3 0us Beacon () [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] ESS CH: 11, PRIVACY
13:11:59.183925 1.0 Mb/s 2412 MHz 11b -75dB signal antenna 3 0us Beacon () [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] ESS CH: 1, PRIVACY
13:11:59.298715 1.0 Mb/s 2462 MHz 11b -89dB signal antenna 3 304us Probe Response (TG862GA2) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 11, PRIVACY
13:11:59.303855 1.0 Mb/s 2462 MHz 11b -90dB signal antenna 3 0us Beacon () [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] ESS CH: 11, PRIVACY
13:12:02.111558 1.0 Mb/s 2427 MHz 11b -92dB signal antenna 3 0us Beacon () [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] ESS CH: 4, PRIVACY
13:12:02.191849 1.0 Mb/s 2462 MHz 11b -87dB signal antenna 3 Retry 314us Probe Response (kcmsdwireless) [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] CH: 11, PRIVACY
13:12:02.194043 1.0 Mb/s 2462 MHz 11b -91dB signal antenna 3 304us Probe Response (TG862GA2) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 11, PRIVACY
13:12:02.207766 1.0 Mb/s 2462 MHz 11b -87dB signal antenna 3 0us Beacon (TG862GA2) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] ESS CH: 11, PRIVACY
13:12:02.218869 1.0 Mb/s 2462 MHz 11b -88dB signal antenna 3 0us Beacon (kcmsdwireless) [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] ESS CH: 11, PRIVACY
13:12:04.999501 1.0 Mb/s 2427 MHz 11b -83dB signal antenna 3 0us Beacon () [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] ESS CH: 2, PRIVACY
13:12:05.086105 1.0 Mb/s 2462 MHz 11b -91dB signal antenna 3 0us Beacon (kcmsdwireless) [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] ESS CH: 11, PRIVACY
13:12:07.937982 1.0 Mb/s 2457 MHz 11b -79dB signal antenna 3 314us Probe Response (kcmsdwireless) [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] CH: 11, PRIVACY
13:12:07.939450 1.0 Mb/s 2457 MHz 11b -83dB signal antenna 3 Retry 314us Probe Response (kcmsdwireless) [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] CH: 11, PRIVACY
