13:01:58.129699 1.0 Mb/s 2412 MHz 11b -67dB signal antenna 3 314us Probe Response (ATT864) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 1, PRIVACY
13:01:58.191299 1.0 Mb/s 2437 MHz 11b -81dB signal antenna 3 304us Probe Response (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:01:58.193710 1.0 Mb/s 2437 MHz 11b -81dB signal antenna 3 304us Probe Response (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:01:58.196035 1.0 Mb/s 2437 MHz 11b -81dB signal antenna 3 304us Probe Response (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:01:58.198234 1.0 Mb/s 2437 MHz 11b -81dB signal antenna 3 0us Beacon (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] ESS CH: 6, PRIVACY
13:01:58.206818 1.0 Mb/s 2437 MHz 11b -83dB signal antenna 3 0us Beacon (ATT200) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] ESS CH: 6, PRIVACY
13:01:58.274414 1.0 Mb/s 2462 MHz 11b -89dB signal antenna 3 0us Beacon (ATT856) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] ESS CH: 11, PRIVACY
13:02:01.023167 1.0 Mb/s 2412 MHz 11b -61dB signal antenna 3 314us Probe Response (ATT864) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 1, PRIVACY
13:02:01.065470 1.0 Mb/s 2427 MHz 11b -81dB signal antenna 3 0us Beacon (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] ESS CH: 6, PRIVACY
13:02:01.085713 1.0 Mb/s 2437 MHz 11b -76dB signal antenna 3 304us Probe Response (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:02:01.088022 1.0 Mb/s 2437 MHz 11b -77dB signal antenna 3 304us Probe Response (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:02:01.090547 1.0 Mb/s 2437 MHz 11b -77dB signal antenna 3 304us Probe Response (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:02:03.917989 1.0 Mb/s 2412 MHz 11b -66dB signal antenna 3 314us Probe Response (ATT864) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 1, PRIVACY
13:02:03.930186 1.0 Mb/s 2417 MHz 11b -68dB signal antenna 3 314us Probe Response (ATT864) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 1, PRIVACY
13:02:03.935653 1.0 Mb/s 2417 MHz 11b -68dB signal antenna 3 0us Beacon (ATT864) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] ESS CH: 1, PRIVACY
13:02:04.002375 1.0 Mb/s 2437 MHz 11b -77dB signal antenna 3 304us Probe Response (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:02:04.004730 1.0 Mb/s 2437 MHz 11b -76dB signal antenna 3 304us Probe Response (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:02:04.007086 1.0 Mb/s 2437 MHz 11b -76dB signal antenna 3 304us Probe Response (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:02:06.835021 1.0 Mb/s 2412 MHz 11b -64dB signal antenna 3 314us Probe Response (ATT864) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 1, PRIVACY
13:02:06.896797 1.0 Mb/s 2437 MHz 11b -79dB signal antenna 3 304us Probe Response (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:02:06.899152 1.0 Mb/s 2437 MHz 11b -79dB signal antenna 3 304us Probe Response (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:02:06.901435 1.0 Mb/s 2437 MHz 11b -78dB signal antenna 3 304us Probe Response (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:02:06.903670 1.0 Mb/s 2437 MHz 11b -80dB signal antenna 3 0us Beacon (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] ESS CH: 6, PRIVACY
13:02:06.910947 1.0 Mb/s 2437 MHz 11b -87dB signal antenna 3 0us Beacon (ATT200) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] ESS CH: 6, PRIVACY
13:02:09.726781 1.0 Mb/s 2412 MHz 11b -65dB signal antenna 3 314us Probe Response (ATT864) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 1, PRIVACY
13:02:09.769361 1.0 Mb/s 2427 MHz 11b -83dB signal antenna 3 0us Beacon (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] ESS CH: 6, PRIVACY
13:02:09.788825 1.0 Mb/s 2437 MHz 11b -78dB signal antenna 3 304us Probe Response (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:02:09.791185 1.0 Mb/s 2437 MHz 11b -79dB signal antenna 3 304us Probe Response (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:02:09.793506 1.0 Mb/s 2437 MHz 11b -78dB signal antenna 3 304us Probe Response (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:02:12.620708 1.0 Mb/s 2412 MHz 11b -65dB signal antenna 3 314us Probe Response (ATT864) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 1, PRIVACY
13:02:12.705098 1.0 Mb/s 2437 MHz 11b -82dB signal antenna 3 304us Probe Response (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:02:12.707470 1.0 Mb/s 2437 MHz 11b -82dB signal antenna 3 304us Probe Response (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:02:12.709927 1.0 Mb/s 2437 MHz 11b -82dB signal antenna 3 304us Probe Response (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
13:02:15.538298 1.0 Mb/s 2412 MHz 11b -64dB signal antenna 3 314us Probe Response (ATT864) [1.0* 2.0* 5.5* 11.0* 18.0 24.0 36.0 54.0 Mbit] CH: 1, PRIVACY
13:02:15.551164 1.0 Mb/s 2417 MHz 11b -89dB signal antenna 3 314us Probe Response (ARRAKIS) [1.0* 2.0* 5.5 11.0 18.0 24.0 36.0 54.0 Mbit] CH: 2, PRIVACY
13:02:15.569947 1.0 Mb/s 2417 MHz 11b -89dB signal antenna 3 Retry 314us Probe Response (ARRAKIS-02) [1.0* 2.0* 5.5 11.0 18.0 24.0 36.0 54.0 Mbit] CH: 2, PRIVACY
13:02:15.623070 1.0 Mb/s 2437 MHz 11b -76dB signal antenna 3 304us Probe Response (WiFiRSU_2e) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 6, PRIVACY
